,title,price,year,link,brand,age
40,2007 hurricane sun deck 217,14000,2007.0,https://norfolk.craigslist.org/boa/d/virginia-beach-2007-hurricane-sun-deck/7818616927.html,missing,18.0
41,2003 - 22' hydra sport center console,15000,2003.0,https://norfolk.craigslist.org/boa/d/virginia-beach-hydra-sport-center/7818491890.html,missing,22.0
42,reduced price! sea boss 21’ (sea pro),14375,,https://norfolk.craigslist.org/boa/d/virginia-beach-reduced-price-sea-boss/7818378800.html,missing,
43,large aluminum anchor,80,,https://norfolk.craigslist.org/boa/d/virginia-beach-large-aluminum-anchor/7818057059.html,missing,
44,boat detailing and polishing,1200,,https://norfolk.craigslist.org/boa/d/virginia-beach-boat-detailing-and/7817965279.html,missing,
45,saull marine your boats needs,1200,,https://norfolk.craigslist.org/boa/d/virginia-beach-saull-marine-your-boats/7817964004.html,missing,
46,baja h2x,25000,,https://charlotte.craigslist.org/boa/d/virginia-beach-baja-h2x/7817953699.html,baja,
47,baja h2x,25000,,https://outerbanks.craigslist.org/boa/d/virginia-beach-baja-h2x/7817953578.html,baja,
48,baja h2x new motor,25000,,https://richmond.craigslist.org/boa/d/virginia-beach-baja-h2x-new-motor/7817953359.html,baja,
49,baja h2x new motor,25000,,https://norfolk.craigslist.org/boa/d/virginia-beach-baja-h2x-new-motor/7817886213.html,baja,
50,baja h2x fresh motor,25000,,https://easternshore.craigslist.org/boa/d/virginia-beach-baja-h2x-fresh-motor/7817873223.html,baja,
51,baja 2x,25000,,https://raleigh.craigslist.org/boa/d/virginia-beach-baja-2x/7817871855.html,baja,
52,baja boat,25000,,https://eastnc.craigslist.org/boa/d/virginia-beach-baja-boat/7817871814.html,baja,
53,1978 classic sanger,22995,1978.0,https://norfolk.craigslist.org/boa/d/norfolk-1978-classic-sanger/7817618903.html,missing,47.0
54,carolina skiff and boat lift,6500,,https://norfolk.craigslist.org/boa/d/virginia-beach-carolina-skiff-and-boat/7817438343.html,missing,
55,"mini drifter aluminum 14’ pro guide powerskiff also 8',10' & 12</",1,,https://norfolk.craigslist.org/bod/d/chesapeake-mini-drifter-aluminum-14-pro/7817367197.html,missing,
56,endeavour 35,23000,,https://norfolk.craigslist.org/boa/d/norfolk-endeavour-35/7817334795.html,endeavour,
57,1970 14 foot jon boat,1250,1970.0,https://norfolk.craigslist.org/boa/d/norfolk-foot-jon-boat/7816665013.html,missing,55.0
58,2015 tracker pro guide v-175 combo,17500,2015.0,https://norfolk.craigslist.org/boa/d/virginia-beach-2015-tracker-pro-guide/7816410711.html,tracker,10.0
59,bayliner 175,5500,,https://norfolk.craigslist.org/boa/d/chesapeake-bayliner-175/7816230304.html,bayliner,
60,formula 311,35000,,https://norfolk.craigslist.org/boa/d/virginia-beach-formula-311/7815902053.html,formula,
61,17.5’ proline center console,4000,,https://norfolk.craigslist.org/boa/d/virginia-beach-175-proline-center/7815879576.html,missing,
62,"to many toys,mamma says i must sell 😆",15000,,https://norfolk.craigslist.org/boa/d/norfolk-to-many-toysmamma-says-must/7815731800.html,missing,
63,38' c&c landfall 38,35000,,https://norfolk.craigslist.org/boa/d/norfolk-38-cc-landfall-38/7815633641.html,missing,
64,boat for sale,2400,,https://norfolk.craigslist.org/boa/d/norfolk-boat-for-sale/7814832042.html,missing,
65,"25' grady white ""dolphin"" twin 200 yamahas",16500,,https://norfolk.craigslist.org/boa/d/virginia-beach-25-grady-white-dolphin/7814613232.html,missing,
66,parker pilot house 2520,45000,,https://norfolk.craigslist.org/boa/d/norfolk-parker-pilot-house-2520/7814190164.html,missing,
67,1998 wellcraft with 250 hp evinrude,4900,1998.0,https://norfolk.craigslist.org/boa/d/norfolk-1998-wellcraft-with-250-hp/7814032803.html,wellcraft,27.0
68,cuddy cabin boat with trailer,900,,https://norfolk.craigslist.org/boa/d/portsmouth-cuddy-cabin-boat-with-trailer/7813351283.html,missing,
69,boston whaler,8500,,https://norfolk.craigslist.org/boa/d/norfolk-boston-whaler/7813269302.html,missing,
